Poll_Source,Date,Democrat_s_,Republican_s_,Hypothetical_Race,Winner
Newsweek_Poll_,"Dec_6-7,_2006_",Barack_Obama_,Mitt_Romney_,Barack_Obama_vs._Mitt_Romney_,Democrat
FOX_News/Opinion_Dynamics_Poll_,"Dec_5-6,_2006_",Barack_Obama_,Rudy_Giuliani_,Barack_Obama_vs._Rudy_Giuliani_,Republican
FOX_News/Opinion_Dynamics_Poll_,"Dec_5-6,_2006_",Hillary_Clinton_,Rudy_Giuliani_,Hillary_Clinton_vs._Rudy_Giuliani_,Republican
FOX_News/Opinion_Dynamics_Poll_,"Dec_5-6,_2006_",Barack_Obama_,John_McCain_,Barack_Obama_vs._John_McCain_,Republican
FOX_News/Opinion_Dynamics_Poll_,"Dec_5-6,_2006_",Hillary_Clinton_,John_McCain_,Hillary_Clinton_vs._John_McCain_,Republican
Rasmussen_Reports_Poll_,"Dec_4-5,_2006_",Barack_Obama_,Mitt_Romney_,Barack_Obama_vs._Mitt_Romney_,Democrat
Rasmussen_Reports_Poll_,"Dec_4-5,_2006_",John_Edwards_,Mitt_Romney_,John_Edwards_vs._Mitt_Romney_,Democrat
WNBC/Marist_Poll_,"Nov_27-Dec_3,_2006_",Hillary_Clinton_,Rudy_Giuliani_,Hillary_Clinton_vs._Rudy_Giuliani_,Republican
WNBC/Marist_Poll_,"Nov_27-Dec_3,_2006_",Hillary_Clinton_,John_McCain_,Hillary_Clinton_vs._John_McCain_,Republican
WNBC/Marist_Poll_,"Nov_27-Dec_3,_2006_",Hillary_Clinton_,Condoleezza_Rice_,Hillary_Clinton_vs._Condoleezza_Rice_,Democrat
Rasmussen_Reports_Poll_,"Nov_28-29,_2006_",Barack_Obama_,Newt_Gingrich_,Barack_Obama_vs._Newt_Gingrich_,Democrat
Rasmussen_Reports_Poll_,"Nov_28-29,_2006_",Hillary_Clinton_,Newt_Gingrich_,Hillary_Clinton_vs._Newt_Gingrich_,Democrat
Rasmussen_Reports_Poll_,"Nov_13-14,_2006_",John_Edwards_,John_McCain_,John_Edwards_vs._John_McCain_,Republican
Rasmussen_Reports_Poll_,"Nov_13-14,_2006_",John_Edwards_,Rudy_Giuliani_,John_Edwards_vs._Rudy_Giuliani_,Republican
Rasmussen_Reports_Poll_,"Nov_13-14,_2006_",John_Edwards_,Mike_Huckabee_,John_Edwards_vs._Mike_Huckabee_,Democrat
Rasmussen_Reports_Poll_,"Nov_13-14,_2006_",John_Edwards_,Mitt_Romney_,John_Edwards_vs._Mitt_Romney_,Democrat
Rasmussen_Reports_Poll_,"Nov_10-11,_2006_",Tom_Vilsack_,John_McCain_,Tom_Vilsack_vs._John_McCain_,Republican
Rasmussen_Reports_Poll_,"Nov_10-11,_2006_",Tom_Vilsack_,Mitt_Romney_,Tom_Vilsack_vs._Mitt_Romney_,Democrat
Diageo/Hotline_Poll_,"Nov_8-12,_2006_",Hillary_Clinton_,John_McCain_,Hillary_Clinton_vs._John_McCain_,Republican
Diageo/Hotline_Poll_,"Nov_8-12,_2006_",John_Edwards_,John_McCain_,John_Edwards_vs._John_McCain_,Republican
Diageo/Hotline_Poll_,"Nov_8-12,_2006_",Barack_Obama_,John_McCain_,Barack_Obama_vs._John_McCain_,Republican
Rasmussen_Reports_Poll_,"Nov_8-9,_2006_",Al_Gore_,John_McCain_,Al_Gore_vs._John_McCain_,Republican
Rasmussen_Reports_Poll_,"Nov_8-9,_2006_",Al_Gore_,Rudy_Giuliani_,Al_Gore_vs._Rudy_Giuliani_,Republican
McLaughlin_&_Associates_Poll__R__,39028,Hillary_Clinton_,John_McCain_,Hillary_Clinton_vs._John_McCain_,Republican
McLaughlin_&_Associates_Poll__R__,39028,Hillary_Clinton_,Rudy_Giuliani_,Hillary_Clinton_vs._Rudy_Giuliani_,Republican
Rasmussen_Reports_Poll_,"Nov_6-7,_2006_",Barack_Obama_,John_McCain_,Barack_Obama_vs._John_McCain_,Republican
Rasmussen_Reports_Poll_,"Nov_6-7,_2006_",Barack_Obama_,Rudy_Giuliani_,Barack_Obama_vs._Rudy_Giuliani_,Republican
Rasmussen_Reports_Poll_,"Nov_6-7,_2006_",Barack_Obama_,Mitt_Romney_,Barack_Obama_vs._Mitt_Romney_,Democrat
Rasmussen_Reports_Poll_,"Nov_6-7,_2006_",Barack_Obama_,Mike_Huckabee_,Barack_Obama_vs._Mike_Huckabee_,Democrat
Rasmussen_Reports_Poll_,"Nov_4-5,_2006_",Hillary_Clinton_,John_McCain_,Hillary_Clinton_vs._John_McCain_,Republican
Rasmussen_Reports_Poll_,"Nov_4-5,_2006_",Hillary_Clinton_,Rudy_Giuliani_,Hillary_Clinton_vs._Rudy_Giuliani_,Republican
CNN_Poll_,"Nov_3-5,_2006_",Hillary_Rodham_Clinton_,John_McCain_,Hillary_Rodham_Clinton_vs._John_McCain_,Republican
CNN_Poll_,"Nov_3-5,_2006_",Hillary_Rodham_Clinton_,Rudy_Giuliani_,Hillary_Rodham_Clinton_vs._Rudy_Giuliani_,Republican
CNN_Poll_,"Nov_3-5,_2006_",Barack_Obama_,John_McCain_,Barack_Obama_vs._John_McCain_,Republican
CNN_Poll_,"Nov_3-5,_2006_",Barack_Obama_,Rudy_Giuliani_,Barack_Obama_vs._Rudy_Giuliani_,Republican
CNN_Poll_,"Nov_3-5,_2006_",John_Kerry_,John_McCain_,John_Kerry_vs._John_McCain_,Republican
CNN_Poll_,"Nov_3-5,_2006_",John_Kerry_,Rudy_Giuliani_,John_Kerry_vs._Rudy_Giuliani_,Republican
FOX_News/Opinion_Dynamics_Poll_,"Oct_24-25,_2006_",Clinton-Obama_,McCain-Giuliani_,Clinton-Obama_vs._McCain-Giuliani_,Republican
FOX_News/Opinion_Dynamics_Poll_,"Oct_24-25,_2006_",Barack_Obama_,John_McCain_,Barack_Obama_vs._John_McCain_,Republican
FOX_News/Opinion_Dynamics_Poll_,"Oct_24-25,_2006_",Hillary_Clinton_,John_McCain_,Hillary_Clinton_vs._John_McCain_,Republican
CNN_Poll__Half_sample__,"Oct_13-15,_2006_",Hillary_Rodham_Clinton_,John_McCain_,Hillary_Rodham_Clinton_vs._John_McCain_,Democrat
CNN_Poll__Half_sample__,"Oct_13-15,_2006_",Hillary_Rodham_Clinton_,Rudy_Giuliani_,Hillary_Rodham_Clinton_vs._Rudy_Giuliani_,Democrat
CNN_Poll__Half_sample__,"Oct_13-15,_2006_",Hillary_Clinton_,John_McCain_,Hillary_Clinton_vs._John_McCain_,Republican
CNN_Poll__Half_sample__,"Oct_13-15,_2006_",Hillary_Clinton_,Rudy_Giuliani_,Hillary_Clinton_vs._Rudy_Giuliani_,Democrat
WNBC/Marist_Poll_,"Sep_18-20,_2006_",Hillary_Clinton_,John_McCain_,Hillary_Clinton_vs._John_McCain_,Republican
